tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-comments,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-readout-method
AG008,LA4,Loxodonta africana,2008-10-28 00:00:00.000,,adult,m,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG008-LA4,none,"Etosha National Park, Namibia",148.24,Africa Wildlife Tracking,GSM-GPS,phone-network
AG009,LA3,Loxodonta africana,2008-10-28 00:00:00.000,,adult,m,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG009-LA3,none,"Etosha National Park, Namibia",148.25,Africa Wildlife Tracking,GSM-GPS,phone-network
AG004,LA1,Loxodonta africana,2008-10-28 00:00:00.000,,adult,m,collar,19.17008333,16.013,data subsampled from original schedule of alternating 1- and 19-min fixes,AG004-LA1,none,"Etosha National Park, Namibia",148.05,Africa Wildlife Tracking,GSM-GPS,phone-network
AG006,LA2,Loxodonta africana,2008-10-28 00:00:00.000,,adult,m,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG006-LA2,none,"Etosha National Park, Namibia",148.2,Africa Wildlife Tracking,GSM-GPS,phone-network
AG012,LA6,Loxodonta africana,2008-10-29 00:00:00.000,,adult,f,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG012-LA6,none,"Etosha National Park, Namibia",148.86,Africa Wildlife Tracking,GSM-GPS,phone-network
AG005,LA5,Loxodonta africana,2008-10-29 00:00:00.000,,adult,f,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG005-LA5,none,"Etosha National Park, Namibia",148.1,Africa Wildlife Tracking,GSM-GPS,phone-network
AG013,LA8,Loxodonta africana,2008-10-30 00:00:00.000,,adult,f,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG013-LA8,none,"Etosha National Park, Namibia",148.94,Africa Wildlife Tracking,GSM-GPS,phone-network
AG010,LA7,Loxodonta africana,2008-10-30 00:00:00.000,,adult,f,collar,,,data subsampled from original schedule of alternating 1- and 19-min fixes,AG010-LA7,none,"Etosha National Park, Namibia",148.84,Africa Wildlife Tracking,GSM-GPS,phone-network
AG190,LA14,Loxodonta africana,2009-07-31 00:00:00.000,,young adult,f,collar,19.20804,15.86668,data subsampled from original schedule of alternating 1- and 19-min fixes,AG190-LA14,none,"Etosha National Park, Namibia",148.72,Africa Wildlife Tracking,GSM-GPS,phone-network
AG193,LA12,Loxodonta africana,2009-07-31 00:00:00.000,,adult,m,collar,19.23283,15.82821,data subsampled from original schedule of alternating 1- and 19-min fixes,AG193-LA12,none,"Etosha National Park, Namibia",148.9,Africa Wildlife Tracking,GSM-GPS,phone-network
AG194,LA15,Loxodonta africana,2009-07-31 00:00:00.000,,adult,m,collar,19.17358,15.91051,data subsampled from original schedule of alternating 1- and 19-min fixes,AG194-LA15,none,"Etosha National Park, Namibia",148.97,Africa Wildlife Tracking,GSM-GPS,phone-network
AG189,LA11,Loxodonta africana,2009-07-31 00:00:00.000,,young adult,f,collar,19.22579,15.8463,data subsampled from original schedule of alternating 1- and 19-min fixes,AG189-LA11,none,"Etosha National Park, Namibia",148.44,Africa Wildlife Tracking,GSM-GPS,phone-network
AG195,LA13,Loxodonta africana,2009-07-31 00:00:00.000,,adult,m,collar,19.17977,15.92526,data subsampled from original schedule of alternating 1- and 19-min fixes,AG195-LA13,none,"Etosha National Park, Namibia",148.99,Africa Wildlife Tracking,GSM-GPS,phone-network
AG191,LA26,Loxodonta africana,2009-10-07 00:00:00.000,,young adult,f,collar,19.23277,15.8782,data subsampled from original schedule of alternating 1- and 19-min fixes,AG191-LA26,none,"Etosha National Park, Namibia",148.74,Africa Wildlife Tracking,GSM-GPS,phone-network
AG192,LA27,Loxodonta africana,2009-10-07 00:00:00.000,,adult,f,collar,19.22092,15.85936,data subsampled from original schedule of alternating 1- and 19-min fixes,AG192-LA27,none,"Etosha National Park, Namibia",148.81,Africa Wildlife Tracking,GSM-GPS,phone-network
